Fish,Date,Location,Site,CentralLatitude,CentralLongitude,AgeCategory,Species,TotalLength_mm,ForkLength_mm,TotalWeight_g,LiverWeight_g,GonadWeight_g,SubgonadWeight_g,Sex,Filet,FieldComments,DateWW,Vial_g,FiletandVialWW_g,Date_dw,FiletandVialDW_g,Comments,PercentMoisture,DmaDate,MassAnalyzed_g,Hg_ng,Hg_ug_per_kgdw,Hg_ug_per_kgww,DmaComments
NF-YP-A-1,2020-09-08,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,240,230,149.9,1.361,2.87,1.811,F,Y,parasites in filet,2020-10-25,7.10058,10.69403,2020-10-29,7.89346,,77.93541,2020-12-10,0.0104,12.5989,1211.4352,267.29821,
NF-YP-A-2,2020-09-08,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,191,184,81.5,0.703,2.33,,M,Y,parasites,2020-10-25,7.1048,9.96638,2020-10-29,7.72809,,78.21868,2020-11-25,0.0103,11.5042,1116.9161,243.2790699,
NF-YP-A-3,2020-09-08,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,183,176,70.7,0.598,0.68,,M,Y,,2020-12-15,7.04488,8.61644,2020-12-18,7.41676,,76.33689,2021-01-19,0.0102,8.0386,788.1023,186.4895142,
NF-YP-A-4,2020-09-08,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,193,185,90.2,0.955,1.229,,F,Y,a few parasites,2020-10-25,7.09663,8.86108,2020-10-29,7.48436,,78.02545,,,,,,
NF-YP-A-5,2020-09-08,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,183,176,78.3,0.752,0.596,,F,Y,,2020-12-13,7.16772,9.0335,2020-12-16,7.59301,,77.20578,2021-01-22,0.0103,15.1711,1487.3645,339.0331363,
NF-YP-A-6,2020-09-08,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,181,172,73.5,0.662,1.835,,M,Y,,2020-11-09,8.5231,11.93096,2020-11-12,9.24494,plus lid,78.81838,2021-01-22,0.0103,14.0349,1362.6157,288.6240796,
NF-YP-A-7,2020-09-08,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,280,260,208.4,2.112,2.5,1.282,F,Y,,2020-10-25,7.02469,9.97848,2020-10-29,7.61136,,80.1384,2020-11-03,0.0103,15.2347,1479.0974,293.7724092,
NF-YP-A-8,2020-09-08,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,158,152,47.1,0.396,0.938,,M,Y,,2020-10-28,7.09802,9.06914,2020-11-03,7.52744,,78.21442,2021-01-24,0.0104,10.861,1044.3237,227.5119751,
NF-YP-A-9,2020-09-08,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,152,144,41.2,0.338,0.139,,F,Y,,2020-10-29,7.05593,9.2276,2020-11-03,7.50302,,79.41262,2020-12-11,0.0101,7.1074,703.7012,144.8736401,
NF-YP-A-10,2020-09-08,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,125,120,21.9,0.219,0.074,,F,Y,,,,,,,,,,,,,,
